Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1079,"Z. P. UPS, BHILEWADA",27090600501,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",BHILEWADA,441106.0,"at post bhilewada, ta ramtek, dist.nagpur",bhilewadaschool@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Bhilewada,Bhilewada,Ramtek
1080,"MIRAI PUBLIC SCHOOL,BHILEWADA,TA-RAMTEK",27090600502,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",BHILEWADA,441106.0,"Bhilewada,Tah-Ramtek Dist-Nagpur",subhash_nagpure@yahoo.com,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Operational,Bhilewada,Bhilewada,Ramtek
1081,"Z. P. UPS, KHUMARI",27090600601,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KHUMARI,441401.0,Near Baba Taj Convent School,zpupschoolkhumari1956@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Khumari,Khumari,Ramtek
1082,"PUNYASHLOK VIDYANIKETAN, KHUMARI",27090600602,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KHUMARI,441401.0,At Post Khumari ta Ramtek Dist Nagpur,Punyashlokvidyaniketan1983@gmail.com,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Khumari,Khumari,Ramtek
1083,"BABA TAJ ENGLISH PRIMARY SCHOOL, KHUMARI",27090600603,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KHUMARI,441401.0,at.post.khumari.ta ramtek.ngp,chandrashekhardonarkar@gmail.com,Private Unaided (Recognized) ,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Operational,Khumari,Khumari,Ramtek
1084,"Z. P. PS, MARARWADI",27090600701,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",MARARWADI,441401.0,at.mararwadi post.bhondewada.ta.ramtek dist.nagpur,,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bhondewada,Khumari,Ramtek
1085,"Z. P. PS, SARAKHA",27090600801,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",SARAKHA,441401.0,sarakha po.borda ta.Ramtek Dt.Nagpur,ZPPssarakha@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sarakha,Borda,Ramtek
1086,"Z. P. UPS, BORDA",27090600901,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",BORDA,441401.0,"near hanuman mandir, borda, po.borda, ta.ramtek,dist.nagpur",mtwandhare@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Borda,Borda,Ramtek
1087,"Z.P. UPS, SATRAPUR",27090601001,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",SATRAPUR,441401.0,At.satrapur Post.Borda Ta.Ramtek Dt. Nagpur,singarevilas2010@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Chhatrapur,Borda,Ramtek
1088,"Z. P. UPS, PATGOWARI",27090601101,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",PATGOWARI,441105.0,at. patgowari.post.naykund tq.ramtek dist. nagpur,vasantameshram9638@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Patgowari,Patgowari,Ramtek
1089,"Z. P. PS, HETITOLA",27090601201,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",HETITOLA,441401.0,at.hetitola post mansar ta.ramtek dist nagpur ,cmgedamsir@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Patgowari,Patgowari,Ramtek
1090,"Z.P. PS, DOLAMINE",27090601301,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",DOLAMINE,441105.0,at.Dolamine post.mansar tq.ramtek dist.nagpur,cmgedamsir@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Mansar,Mansar,Ramtek
1091,"Z. P. UPS, PAWANI",27090601501,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",PAWANI,441401.0,at-pawani post-pawani tah-ramtek pin-441401,zpupspawani123@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pawni,Bothiyapalora,Ramtek
1092,"JAISEWA ADARSH HIGH SCHOOL, POUNI",27090601502,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",PAWANI,441401.0,Paoni Ta. Ramtek Dist. Nagpur,jaisewaadarshschoolpaoni@gmail.com,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Pawni,Bothiyapalora,Ramtek
1093,"Z.P. UPS, MOUDI",27090601601,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",MOUDI,441401.0,"At-Moudi, Ta-Ramtek, Dist-Nagpur",,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Moudi,Bothiyapalora,Ramtek
1094,"Z.P. UPS, MANEGAON (HIWARA)",27090601801,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",MANEGAON  ( HIWARA),441404.0,"At.Manegaon Hiwara Po.Hiwara Bazar,Tha. Ramtek,Dist.Nagpur",rameshbhusnar@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Manegaon(Rithi),Warghat,Ramtek
1095,"Z.P. PS, BOTHIYAPALORA",27090602001,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",BOTHIYA,441401.0,"Bothiyapalora Tah- Ramtek, Dist- Nagpur",vilaslawankar02@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bothiya(Palora),Bothiyapalora,Ramtek
1096,Z.P. HS & JR. COLLEGE BOTHIYAPALORA,27090602002,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",BOTHIYA,441401.0,"AT BOTHIYA PALORA, POST-PAONI, TA-RAMTEK, DIST-NAGPUR",zphs.jrcbpalora@gmail.com,Local Body,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Bothiya(Palora),Bothiyapalora,Ramtek
1097,"Z.P. PS, SITAPUR",27090602201,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",SITAPUR,441401.0,"At- Sitapur, Jabalpur Road, Po-Pawani, Ta-Ramtek",hmsitapur1234@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sitapar,Bothiyapalora,Ramtek
1098,"Z.P. PS, VANPAWANI",27090602301,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",VAN PAWANI,441401.0,"At- Vanpawani, Jabalpur Road, Ta-Ramtek",hmvanpaoni1234i@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wanpauni,Bothiyapalora,Ramtek
1099,"Z.P. PS, KHARPADA",27090602401,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",KHARPADA,441401.0,"Karpada, post- pawani, tah- Ramtek, Dist- Nagpur",hmkharpada123@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kharpada,Bothiyapalora,Ramtek
1100,"Z.P. PS, SAWANGI",27090602501,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",SAWANGI,441401.0,"Sawangi, Post- Pawani, Tah- Ramtek, Dist- Nagpur",hmsawangi1234@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sawangi,Bothiyapalora,Ramtek
1101,"Z.P. PS, BANJARTOLA",27090602601,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",BANJAR TOLA,441401.0,"Banjartola, Post- Patharai, Tah- Ramtek, Dist- Nagpur",,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pawni,Bothiyapalora,Ramtek
1102,"Z.P. PS, CHORBAHULI",27090602701,MAHARASHTRA,NAGPUR,RAMTEK,"Z. P. UPS, PAWANI ",CHORBAHULI,441401.0,at- chorbahuli post- khumari tah-ramtek pin-441401,,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chorbahuli (Mogra),Khumari,Ramtek
1103,Z.P. PS. PIPARIYA,27090602901,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,PIPARIYA,441401.0,"AT-PIPARIYA,POST-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",khande295@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pipriya,Pipriya,Ramtek
1104,"Z.P. PS, WAGHOLI",27090603001,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,WAGHOLI,441401.0,"AT-WAGHOLI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",zppswagholi10@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pipriya,Pipriya,Ramtek
1105,"Z.P. PS, SILLARI",27090603101,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,SILLARI,441401.0,"AT-SILLARI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",zpschoolsillari@yahoo.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sillari,Pipriya,Ramtek
1106,"Z.P. PS, KHAPA",27090603201,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,KHAPA,441401.0,"AT-KHAPA, PO-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",zpschoolkhapa123@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Khapa,Pipriya,Ramtek
1107,"Z.P. PS, FULZARI",27090603301,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,FULZARI(JANGLI),441401.0,"AT-FULZARI,PO-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",aaibaba011@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Fulzari (Forest),Pipriya,Ramtek
1108,"Z.P. UPS, GHOTI",27090603401,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,GHOTI,441401.0,"AT-GHOTI,POST-PIPARIYA,TH-RAMTEK,DIST-NAGPUR",zpupschoolghoti@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Ghoti,Dahoda,Ramtek
1109,JAYSEWA ADI. PRY ASHR.SCH.DAHODA,27090603501,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,DAHODA,441401.0,AT. DAHODA PO. PATHARAI TH. RAMTEK DIS. NAGPUR,ssdamahe1974@gmail.com,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Dahoda,Dahoda,Ramtek
1110,JAYSEWA ADI. MDY ASHR.SCH.DAHODA,27090603502,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,DAHODA,441401.0,AT DAHODA TA RAMTEK DIST NAGPUR,vinaypc2015@gmail.com,Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Rural,Operational,Dahoda,Dahoda,Ramtek
1111,"Z.P. PS, AMBAZARI",27090603901,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,AMBAZARI,441401.0,At-Ambazari Po-Patharai Ta-Ramtek Dist-Nagpur,zpschoolambazari@yahoo.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Ambazari,Patharai,Ramtek
1112,"Z.P. UPS, PATHARAI",27090604101,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,PATHARAI,441401.0,"AAAT-PATAHARAI, POST-PATHARAI,TH-RAMTEK,DIST-NAGPUR",zpupsschoolpatharai@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pathrai,Patharai,Ramtek
1113,"NAVJEEVAN HIGH SCHOOL AND KANISHTTHA MAHAVIDYALAYA, PATHRAI_x000D_
",27090604102,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,PATHARAI,441401.0,"Patharai, Tah- Ramtek, Dist - Nagpur",eshwarramtek@gmail.com,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Pathrai,Patharai,Ramtek
1114,"Z.P. PS, HIWARA (PATHARAI)",27090604201,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,HIWARA(PATHARAI),441401.0,"AT-HIWARA,PO-PATHARAI,TH-RAMTEK,DISTT-NAGPUR",vijaywajgi11@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pathrai,Patharai,Ramtek
1115,"Z.P. PS, SALAI (PIPRIYA)",27090604301,MAHARASHTRA,NAGPUR,RAMTEK,Z.P. PS. PIPARIYA ,SALAI(PIPARIYA),441401.0,"AT-SALAI,PO-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",zpschoolsalai@yahoo.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Salai,Pipriya,Ramtek
1116,"Z.P. PS, DEOLAPAR",27090604401,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,"Z.P.P.SCHOOL DEOLAPAR, PO.DEOLAPAR, TA.RAMTEK ,DI.NAGPUR",todase.priyanka@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Deolapar,Dewlapar,Ramtek
1117,PRATHMIK ASHRAM SCH. DEOLAPAR,27090604402,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,devlapar ta-ramtek dist-nagpur,anmolraut78@gmail.com,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Deolapar,Dewlapar,Ramtek
1118,"UDAY HIGHER PRIMARY SCHOOL, DEOLAPAR_x000D_
",27090604403,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,"UDAY UCHH PRIMARY SCHOOL DEOLAPAR, PO.DEOLAPAR .TA.RAMTEK, DI.NAGPUR",udayhpsdeolapar@gmail.com,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Deolapar,Dewlapar,Ramtek
1119,"UDAY VIDYALAYA, DEOLAPAR_x000D_
",27090604404,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,BEHIND RURAL HOSPITAL DEOLAPAR,hmudayvdeolapar@gmail.com,Other State Govt. Managed,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Operational,Deolapar,Dewlapar,Ramtek
1120,SWAMI VIVEKANAND VIDYALAYA AND UCHCHA MADHYAMIK VIDYALAYA DEOLAPAR,27090604405,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,Deolapar Ta.Ramtek Dist.Nagpur 441401,svvdeolapar@gmail.com,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Deolapar,Dewlapar,Ramtek
1121,GURUKUL MYD. ASHRAM SCH. DEOLAPAR,27090604406,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,"At., Post - Deolapar, Tah - Ramtek, Dist - Nagpur 441401",gurukuldeolapar@gmail.com,Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Rural,Operational,Deolapar,Dewlapar,Ramtek
1122,"LATE SMT.LAXMIDEVI AGARWALA CONVENT, DEOLAPAR",27090604407,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DEOLAPAR,441401.0,At post Deolapar Ta Ramtek Dist Nagpur,lslacd@gmail.com,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Operational,Deolapar,Dewlapar,Ramtek
1123,"Z.P. PS, NIMTOLA",27090604501,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",NIMTOLA,441401.0,"Z.P.P.SCHOOL NIMTOLA , PO.DEOLAPAR ,TA.RAMTEK , DI.NAGPUR",chavhanpo@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Deolapar,Dewlapar,Ramtek
1124,"Z.P. PS, KAMATHI",27090604601,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",KAMTHI,441401.0,"Z.P.P.SCHOOL KAMTHEE , PO.DEOLAPAR ,TA.RAMTEK , DI.NAGPUR",sunidhideshmukh6@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kamthi,Dongartal,Ramtek
1125,"Z.P. PS, KADBIKHEDA",27090604701,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",KADBIKHEDA,441401.0,AT KADBIKHEDA POST DEOLAPAR TAH RAMTEK DIST NAGPUR,shaktishribagade@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kadbikheda,Dongartal,Ramtek
1126,"Z.P. UPS, ZINJERIYA",27090604801,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",ZINJERIYA,441401.0,AT. ZINJERIYA POST. DEOLAPAR TAH. RAMTEK DIST. NAGPUR- 441401,zpupszinzeriya@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Zinzeriya,Dewlapar,Ramtek
1127,"Z.P. PS, DONGARTAL",27090604901,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",DONGARTAL,441401.0,"Z.P.P.SCHOOL DONGARTAL, PO.DEOLAPAR, TA.RAMTEK, DI.NAGPUR",dmvoice.in@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Dongartal,Dongartal,Ramtek
1128,"Z.P. PS, KHIDKI",27090605001,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",KHIDAKI,441401.0,"Z.P.P.SCHOOL KHIDKI , PO.DEOLAPAR ,TA.RAMTEK, DI.NAGPUR",zppskhidki@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Khidki,Katta,Ramtek
1129,"Z.P. UPS, TUYAPAR (DEOLAPAR)",27090605101,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",TUYYAPAR DEOLAPAR,441401.0,"Z.P.PU.P.SCHOOL TUYAPAR , PO.BELADA ,TA.RAMTEK, DI.NAGPUR",narayanmalkhede@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Tuyapar(Belda),Dahoda,Ramtek
1130,"Z.P. PS, SINDEWANI",27090605201,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",SINDEWANI,441401.0,AT. SINDEWANI POST. KATTA TAH. RAMTEK DIST. NAGPUR-441401,Uikeynila@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sindewani,Katta,Ramtek
1131,"Z.P. PS, PENDHARAI",27090605301,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",PENDHARAI,441401.0,"Z.P.PRIMARY SCHOOL PENDHARAI, PO. DEOLAPAR , TA. RAMTEK , DI. NAGPUR.",zppspendharai@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pendhari,Katta,Ramtek
1132,"Z.P. PS, KATTA",27090605401,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, DEOLAPAR ",KATTA,441401.0,"Z.P.P.SCHOOL KATTA ,PO.DEOLAPAR ,TA.RAMTEK ,DI.NAGPUR",zppskatta@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Katta,Katta,Ramtek
1133,"Z.P. PS, WADAMBA",27090605501,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",WADAMBA,441401.0,AT.POST-WADAMBA TAH-RAMTEK DIST-NAGPUR,,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
1134,"Z.P. HS, WADAMBA",27090605502,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",WADAMBA,441401.0,AT POST WADAMBA NEAR OF GRAMPANCHYAT ,zphswadamba20@gmail.com,Local Body,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
1135,"ST. PETER'S SMILE HIGH SCHOOL& JR. COLLEGE,DEOLAPAR,RAMTEK",27090605503,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",WADAMBA,441401.0,"At-Wadamba, Po-Deolapar, Ta-Ramtek, Dist-Nagpur",principalst.peterenew@gmail.com,Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
1136,"Z.P. PS, RAYATWADI",27090605601,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",RAYYATWADI,441401.0,AT-RAYATWADI POST-WADAMBA TAH-RAMTEK DIST NAGPUR,zppsrayatwadi@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wadamba (Rayatwari),Wadamba,Ramtek
1137,"Z.P. PS, NAVEGAON (WADAMBA)",27090605701,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",NAWEGAON WADAMBA,441401.0,AT.NAVEGAON POST WADAMBA TAH RAMTEK DIST NAGPUR,zppsnawegaonwadamba@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Nawegaon 2,Wadamba,Ramtek
1138,"Z.P. PS, USARIPAR",27090605801,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",USARIPAR,441401.0,AT-USARIPAR POST-WADAMBA TAH-RAMTEK DIST-NAGPUR,,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Usripar,Dongartal,Ramtek
1139,"Z.P. PS, BANDRA",27090605901,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",BANDRA,441401.0,AT.BANDRA POST.WADAMBA TAH RAMTEK DIST NAGPUR,zppsbandra2025@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bandra,Bandra,Ramtek
1140,EKLAWYA ADI.PRY.ASH.SCH.BANDRA,27090605902,MAHARASHTRA,NAGPUR,RAMTEK,,BANDRA,441401.0,,,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Permanently Closed,Bandra,Bandra,Ramtek
1141,EKLAWYA ADI.MDY.ASH.SCH.BANDRA,27090605903,MAHARASHTRA,NAGPUR,RAMTEK,,BANDRA,441401.0,,,Other State Govt. Managed,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Permanently Closed,Bandra,Bandra,Ramtek
1142,"Z.P. PS, JUNEWANI",27090606001,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. PS, WADAMBA ",JUNEWANI,441401.0,AT.JUNEWANI POST.WADAMBA TAH.RAMTEK DIST NAGPUR,zppsjunewani@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Junewani,Wadamba,Ramtek
