Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
2017,"Z.P. HIGH SCHOOL, PAHAMI",27091301801,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,PAHAMI,441201.0,"AT POST PAHAMI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.pahami18@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Pahami,Pahami,Bhiwapur
2018,"NATIONAL HIGH SCHOOL, SALESHAHARI",27091301901,MAHARASHTRA,NAGPUR,BHIWAPUR,SALESHAHARI,SALESHAHARI,441201.0,"AT POST SALESHAHARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.saleshahari19@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Saleshahari,Saleshahari,Bhiwapur
2019,"MAHATMA GANDHI VIDYALAYA, ADYAL NO. 2",27091302001,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),ADYAL,441201.0,"AT POST ADYAL, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.adyal20@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Adyal,Adyal,Bhiwapur
2020,"Z.P. PS, BHAGEBORI NO. 2",27091302101,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,BHAGEBORI,441201.0,"AT POST BHAGEBORI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.bhagebori21@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Bhagebori,Bhagebori,Bhiwapur
2021,"Z.P. UPS, MOKHEBARDI",27091302201,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,MOKHEBARDI,441201.0,"AT POST MOKHEBARDI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.mokhebardi22@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Mokhebardi,Mokhebardi,Bhiwapur
2022,"Z.P. PS (BOYS), LONARA",27091302301,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,LONARA,441201.0,"AT POST LONARA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.lonara23@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Lonara,Lonara,Bhiwapur
2023,"Z.P. PS (GIRLS), KITALI",27091302401,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,KITALI,441201.0,"AT POST KITALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kitali24@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Kitali,Kitali,Bhiwapur
2024,"SARASWATI VIDYALAYA, KHARKADA",27091302501,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,KHARKADA,441201.0,"AT POST KHARKADA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kharkada25@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Kharkada,Kharkada,Bhiwapur
2025,"SHARADA CONVENT, KHAPARI",27091302601,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,KHAPARI,441201.0,"AT POST KHAPARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.khapari26@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Khapari,Khapari,Bhiwapur
2026,"MODEL SCHOOL, ROHANA",27091302701,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,ROHANA,441201.0,"AT POST ROHANA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.rohana27@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Rohana,Rohana,Bhiwapur
2027,"Z.P. HIGH SCHOOL, GOTADI",27091302801,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,GOTADI,441201.0,"AT POST GOTADI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.gotadi28@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Gotadi,Gotadi,Bhiwapur
2028,"NATIONAL HIGH SCHOOL, GOHALLI",27091302901,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,GOHALLI,441201.0,"AT POST GOHALLI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.gohalli29@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Gohalli,Gohalli,Bhiwapur
2029,"MAHATMA GANDHI VIDYALAYA, SULEZARI NO. 2",27091303001,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,SULEZARI,441201.0,"AT POST SULEZARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.sulezari30@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Sulezari,Sulezari,Bhiwapur
2030,"Z.P. PS, CHIKHALI",27091303101,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,CHIKHALI,441201.0,"AT POST CHIKHALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.chikhali31@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Chikhali,Chikhali,Bhiwapur
2031,"Z.P. UPS, CHIKNA",27091303201,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,CHIKNA,441201.0,"AT POST CHIKNA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.chikna32@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Chikna,Chikna,Bhiwapur
2032,"Z.P. PS (BOYS), RANMANGALI",27091303301,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,RANMANGALI,441201.0,"AT POST RANMANGALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.ranmangali33@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Ranmangali,Ranmangali,Bhiwapur
2033,"Z.P. PS (GIRLS), MALEWADA",27091303401,MAHARASHTRA,NAGPUR,BHIWAPUR,SALESHAHARI,MALEWADA,441201.0,"AT POST MALEWADA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.malewada34@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Malewada,Malewada,Bhiwapur
2034,"SARASWATI VIDYALAYA, PAUNI BORDER",27091303501,MAHARASHTRA,NAGPUR,BHIWAPUR,SALESHAHARI,PAUNI BORDER,441201.0,"AT POST PAUNI BORDER, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.pauniborder35@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Pauni Border,Pauni Border,Bhiwapur
2035,"SHARADA CONVENT, TATOLI",27091303601,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),TATOLI,441201.0,"AT POST TATOLI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.tatoli36@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Tatoli,Tatoli,Bhiwapur
2036,"MODEL SCHOOL, SOMNALA",27091303701,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,SOMNALA,441201.0,"AT POST SOMNALA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.somnala37@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Somnala,Somnala,Bhiwapur
2037,"Z.P. HIGH SCHOOL, ALEWUR",27091303801,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,ALEWUR,441201.0,"AT POST ALEWUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.alewur38@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Alewur,Alewur,Bhiwapur
2038,"NATIONAL HIGH SCHOOL, BOTHALI",27091303901,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,BOTHALI,441201.0,"AT POST BOTHALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.bothali39@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Bothali,Bothali,Bhiwapur
2039,"MAHATMA GANDHI VIDYALAYA, DAHEGAON",27091304001,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,DAHEGAON,441201.0,"AT POST DAHEGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.dahegaon40@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Dahegaon,Dahegaon,Bhiwapur
2040,"Z.P. PS, DONGARGAON",27091304101,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,DONGARGAON,441201.0,"AT POST DONGARGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.dongargaon41@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Dongargaon,Dongargaon,Bhiwapur
2041,"Z.P. UPS, GUMGAON",27091304201,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,GUMGAON,441201.0,"AT POST GUMGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.gumgaon42@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Gumgaon,Gumgaon,Bhiwapur
2042,"Z.P. PS (BOYS), JAMBHULPANI",27091304301,MAHARASHTRA,NAGPUR,BHIWAPUR,SALESHAHARI,JAMBHULPANI,441201.0,"AT POST JAMBHULPANI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.jambhulpani43@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Jambhulpani,Jambhulpani,Bhiwapur
2043,"Z.P. PS (GIRLS), KODAMENDHI",27091304401,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),KODAMENDHI,441201.0,"AT POST KODAMENDHI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kodamendhi44@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Kodamendhi,Kodamendhi,Bhiwapur
2044,"SARASWATI VIDYALAYA, MANOLI",27091304501,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,MANOLI,441201.0,"AT POST MANOLI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.manoli45@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Manoli,Manoli,Bhiwapur
2045,"SHARADA CONVENT, NIMBHA",27091304601,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,NIMBHA,441201.0,"AT POST NIMBHA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.nimbha46@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Nimbha,Nimbha,Bhiwapur
2046,"MODEL SCHOOL, PIPALDHARA",27091304701,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,PIPALDHARA,441201.0,"AT POST PIPALDHARA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.pipaldhara47@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Pipaldhara,Pipaldhara,Bhiwapur
2047,"Z.P. HIGH SCHOOL, SHIRPUR",27091304801,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,SHIRPUR,441201.0,"AT POST SHIRPUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.shirpur48@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Shirpur,Shirpur,Bhiwapur
2048,"NATIONAL HIGH SCHOOL, WADAD",27091304901,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,WADAD,441201.0,"AT POST WADAD, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.wadad49@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Wadad,Wadad,Bhiwapur
2049,"MAHATMA GANDHI VIDYALAYA, ZARI",27091305001,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,ZARI,441201.0,"AT POST ZARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.zari50@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Zari,Zari,Bhiwapur
2050,"Z.P. PS, BHIWAPUR NO. 7",27091305101,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"AT POST BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.bhiwapur51@gmail.com,Local Body,Primary,Co-educational,1–4,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2051,"Z.P. UPS, KOSTIPURA NO. 2",27091305201,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,KOSTIPURA,441201.0,"AT POST KOSTIPURA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kostipura52@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Urban,Operational,Kostipura,Kostipura,Bhiwapur
2052,"Z.P. PS (BOYS), BESUR NO. 2",27091305301,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,BESUR,441201.0,"AT POST BESUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.besur53@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Besur,Besur,Bhiwapur
2053,"Z.P. PS (GIRLS), DHAMANGAON NO. 2",27091305401,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,DHAMANGAON,441201.0,"AT POST DHAMANGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.dhamangaon54@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Dhamangaon,Dhamangaon,Bhiwapur
2054,"SARASWATI VIDYALAYA, KARGAON NO. 2",27091305501,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,KARGAON,441201.0,"AT POST KARGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kargaon55@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Kargaon,Kargaon,Bhiwapur
2055,"SHARADA CONVENT, MAHALGAON NO. 3",27091305601,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,MAHALGAON,441201.0,"AT POST MAHALGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.mahalgaon56@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Mahalgaon,Mahalgaon,Bhiwapur
2056,"MODEL SCHOOL, NAND NO. 3",27091305701,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,NAND,441201.0,"AT POST NAND, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.nand57@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Nand,Nand,Bhiwapur
2057,"Z.P. HIGH SCHOOL, PAHAMI NO. 2",27091305801,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,PAHAMI,441201.0,"AT POST PAHAMI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.pahami58@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Pahami,Pahami,Bhiwapur
2058,"NATIONAL HIGH SCHOOL, SALESHAHARI NO. 2",27091305901,MAHARASHTRA,NAGPUR,BHIWAPUR,SALESHAHARI,SALESHAHARI,441201.0,"AT POST SALESHAHARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.saleshahari59@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Saleshahari,Saleshahari,Bhiwapur
2059,"MAHATMA GANDHI VIDYALAYA, ADYAL NO. 3",27091306001,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),ADYAL,441201.0,"AT POST ADYAL, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.adyal60@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Adyal,Adyal,Bhiwapur
2060,"Z.P. PS, BHAGEBORI NO. 3",27091306101,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,BHAGEBORI,441201.0,"AT POST BHAGEBORI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.bhagebori61@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Bhagebori,Bhagebori,Bhiwapur
2061,"Z.P. UPS, MOKHEBARDI NO. 2",27091306201,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,MOKHEBARDI,441201.0,"AT POST MOKHEBARDI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.mokhebardi62@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Mokhebardi,Mokhebardi,Bhiwapur
2062,"Z.P. PS (BOYS), LONARA NO. 2",27091306301,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,LONARA,441201.0,"AT POST LONARA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.lonara63@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Lonara,Lonara,Bhiwapur
2063,"Z.P. PS (GIRLS), KITALI NO. 2",27091306401,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,KITALI,441201.0,"AT POST KITALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kitali64@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Kitali,Kitali,Bhiwapur
2064,"SARASWATI VIDYALAYA, KHARKADA NO. 2",27091306501,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,KHARKADA,441201.0,"AT POST KHARKADA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kharkada65@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Kharkada,Kharkada,Bhiwapur
2065,"SHARADA CONVENT, KHAPARI NO. 2",27091306601,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,KHAPARI,441201.0,"AT POST KHAPARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.khapari66@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Khapari,Khapari,Bhiwapur
2066,"MODEL SCHOOL, ROHANA NO. 2",27091306701,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,ROHANA,441201.0,"AT POST ROHANA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.rohana67@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Rohana,Rohana,Bhiwapur
2067,"Z.P. HIGH SCHOOL, GOTADI NO. 2",27091306801,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,GOTADI,441201.0,"AT POST GOTADI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.gotadi68@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Gotadi,Gotadi,Bhiwapur
2068,"NATIONAL HIGH SCHOOL, GOHALLI NO. 2",27091306901,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,GOHALLI,441201.0,"AT POST GOHALLI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.gohalli69@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Gohalli,Gohalli,Bhiwapur
2069,"MAHATMA GANDHI VIDYALAYA, SULEZARI NO. 3",27091307001,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,SULEZARI,441201.0,"AT POST SULEZARI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.sulezari70@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Sulezari,Sulezari,Bhiwapur
2070,"Z.P. PS, CHIKHALI NO. 2",27091307101,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,CHIKHALI,441201.0,"AT POST CHIKHALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.chikhali71@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Chikhali,Chikhali,Bhiwapur
2071,"Z.P. UPS, CHIKNA NO. 2",27091307201,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,CHIKNA,441201.0,"AT POST CHIKNA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.chikna72@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Chikna,Chikna,Bhiwapur
2072,"Z.P. PS (BOYS), RANMANGALI NO. 2",27091307301,MAHARASHTRA,NAGPUR,BHIWAPUR,PAHAMI,RANMANGALI,441201.0,"AT POST RANMANGALI, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.ranmangali73@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Ranmangali,Ranmangali,Bhiwapur
